Priority,Org,Category,Sector,Tier,Why fit,Scale signal,Source,Status
Warm,CGI India,IT / Tech / GCC corporate CSR (environment & tree-planting),IT / Consulting (large India GCC),High,"Bullseye fit + KNOWN warm incumbent buyer. 31,000+ trees since 2019 via Miyawaki/native species, SayTrees (26,100) + United Way Hyderabad (5,000) across Bengaluru/Hyderabad/Chennai. ALREADY QR-tags saplings for remote health monitoring — exactly the geotag/verify product. Net-zero by 2030. Closest analogue to COMMUNITREE's model and the hottest displacement/reference target.","31,000+ QR-tagged trees since 2019; client-facing virtual plantations; named NGO implementers; net-zero 2030",https://www.cgi.com/india/en/article/esg/restoring-biodiversity-through-afforestation-and-digital-monitoring-of-plant-health,
Warm,IDFC FIRST Bank (FIRST ENSURE / FIRST IMPACT),"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",BFSI / Private bank (tech-forward),High,"Direct product-fit + KNOWN warm incumbent buyer. Planted 30,000 geotagged saplings in Madurai (2024-25) ON BEHALF OF Green Home Loan / Green FD customers — each geotagged so customers trace growth. This IS the geotagged customer-gifting use case, done manually today. Tamil Nadu footprint overlaps the founder's GNF/Trichy base.","30,000 geotagged saplings Madurai 2024-25; tied to green-loan/green-FD customer products; geotagging already a stated feature",https://www.idfcfirstbank.com/scaling-up-sustainability-effort/environment,
Warm,Punjab National Bank (Project PNB Palaash),"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",BFSI / PSU bank,High,"KNOWN warm incumbent buyer. Project PNB Palaash flagship 8-month sustainability campaign with mass tree-plantation drives; 1 lakh+ employees each plant 2+ saplings = enormous employee-volunteering tracking need. PNB MetLife adds 24 acres / 14,000 trees/yr across 4 sites. PSU bank, mandated CSR, named running afforestation program.","1 lakh+ employees x 2+ saplings (200,000+); Project PNB Palaash bank-wide campaign; PNB Griha Vatika green scheme",https://www.business-standard.com/companies/news/pnb-launches-project-pnb-palaash-for-environmental-sustainability-123071700548_1.html,
Warm,HCLTech (HCL Foundation — HCL Harit),IT / Tech / GCC corporate CSR (environment & tree-planting),IT Services (Tier-1 IT major),High,"KNOWN warm incumbent buyer. Flagship HCL Harit = large-scale afforestation, water conservation, land restoration. Planted 49,000 saplings across Noida/Nagpur/Pune/Bengaluru/Lucknow for 49th anniversary (Aug 2025); 3.2M+ saplings lifetime, 73,000 acres restored; afforestation MoU with Lucknow Development Authority. Environment is an explicit CSR pillar with a ~1,680cr cumulative CSR purse by FY25.","3.2M+ saplings lifetime; 73,000 acres restored; 49,000 saplings across 5 cities (2025); 107B litres water harvested","https://csrbox.org/Impact/description/India_CSR_news_HCLTech-commemorates-the-49th-anniversary-of-HCL-Group-by-planting-49,000-saplings-across-India_2949",
Warm,Lenovo (India),IT / Tech / GCC corporate CSR (environment & tree-planting),IT Hardware / Tech (India GCC + sales),Medium,"KNOWN warm buyer per founder, but VERIFY-FIRST on environment. Strong India CSR (Work For Humankind, Kerala millet revival 2023) and global conservation, but public 2024-26 sources tie its flagship India CSR to education/digital-inclusion/rural-agri, NOT a named tree-plantation program. Treat as warm-but-verify: confirm the specific afforestation engagement the incumbent sold them before pitching afforestation; approach via employee-volunteering/sustainability route.",Work For Humankind India (Kerala 2023) + global conservation; India tree-planting specifics unconfirmed in public sources,https://news.lenovo.com/pressroom/press-releases/work-for-humankind-india-smarter-technology-millet-revival/,
Warm,HSBC India,"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Foreign bank in India (community-investment CSR),High,"KNOWN warm buyer. USD 100M Climate Solutions Partnership (WRI & WWF, 2020-25) funds nature-based solutions; India env portfolio includes Sundarbans (WB) silt traps that let mangrove saplings grow, plus wetland/forest conservation. Active mangrove/forest CSR buyer with implementing partners. A specific India 2024-26 afforestation/Miyawaki program was not pinned down in sources — validate the current India grant before pitching afforestation.",USD 100M Climate Solutions Partnership; Sundarbans mangrove restoration; nature-based CSR portfolio,https://www.about.hsbc.co.in/community,
Warm,Tata Group (Tata Sustainability Group / Tata Engage; Tata Power Tree Mittra),Corporate foundations + large philanthropic trusts (commission afforestation programs),Conglomerate,High,KNOWN warm buyer (founder flagged Tata). Group-wide volunteering (Tata Engage) plus Tata Power's Tree Mittra tree-adoption/plantation & biodiversity program (1M+ native trees/year) and 50-year Act for Mahseer; Tata also backs 2M+ tree urban-forest restoration since 2024. Multiple group entities run tree CSR with big budgets — anchor logo with a multi-company expansion path. Route via Tata Sustainability Group.,Tree Mittra 1M+ trees/yr; Tata Engage group volunteering platform; ET-ranked #2 India CSR/sustainability; 2M+ tree urban-forest backing,https://www.tatapower.com/sustainability/tree-mittra,
Warm,Temenos (India / Bengaluru GCC),IT / Tech / GCC corporate CSR (environment & tree-planting),BFSI Software / Tech (banking-software GCC),Mid,"KNOWN warm buyer per founder, but ENV UNCONFIRMED (fact-check flag). Banking-software GCC in Bengaluru; founder says they already buy tree-CSR from an incumbent, likely routed via SayTrees/United Way — but no public 2024-26 source confirms a named Temenos India afforestation/environment-CSR program. Lowest-confidence warm lead: confirm the specific program + an India CSR/sustainability contact and environment intent BEFORE any afforestation pitch.","Banking-software GCC, Bengaluru; flagged as current incumbent tree-CSR buyer by founder; public env-CSR specifics not found — verify directly",https://www.temenos.com/about/corporate-responsibility/,
Warm,Goodera,CSR consultancies / aggregators / platforms (channel partners),CSR / Employee-Volunteering Platform (Bengaluru + Menlo Park),High,"KNOWN warm CHANNEL partner — the single highest-leverage target. Runs 'Green India' tree-plantation community missions for 400-500+ enterprises across 100+ countries, 50,000+ nonprofits; already aggregates environment-CSR demand. White-labeling our geotagged plant+proof+report engine plugs straight into their Green India offering = one partner, many downstream corporate deals. Named base incl. IBM, PayPal, Intuit, ServiceNow, AWS, 3M, Abbott.","400-500+ enterprise clients; 5,000+ volunteering events/yr in India; 50,000+ nonprofit network; 100+ countries; dedicated Green India mission",https://www.goodera.com/csr-volunteering,
High,Infosys (Infosys Foundation),IT / Tech / GCC corporate CSR (environment & tree-planting),IT Services (Tier-1 IT major),High,"Environment is one of 5 CSR pillars; FY25-26 CSR action plan explicitly funds environmental sustainability/ecological balance. Funds agroforestry for smallholder livelihoods, multi-species biodiversity planting, lake rejuvenation (5cr+ Thangal Lake Chennai with Siruthuli) and biodiversity-rich campuses (Mysuru 60% native woodland). Huge CSR budget; Bengaluru Miyawaki urban-forest partnerships.","Tier-1 IT major, CSR ~300cr range; FY25-26 CSR action plan published; multi-state tree-planting/agroforestry; 5cr+ lake grant",https://www.infosys.com/investors/reports-filings/documents/csr-projects2025-26.pdf,
High,Wipro (Wipro Foundation / Wipro GreenCo),IT / Tech / GCC corporate CSR (environment & tree-planting),IT Services (Tier-1 IT major),High,"Ecology is one of four named Wipro Foundation pillars; FY23-24 directed 215+cr of 247cr CSR to education/health/environment. Runs urban afforestation, Wipro Eco Park (Sarjapur), lake rejuvenation (15+ water bodies), Miyawaki sponsorship in north India via GreenCo. Net-zero by 2040; decades-long ecology grant portfolio backing implementing NGOs.",247cr FY23-24 CSR; 15+ water bodies restored; dedicated Eco Park + Miyawaki; net-zero 2040,https://www.wipro.com/content/dam/nexus/en/sustainability/sustainability_reports/wipro-sustainability-report-fy-2023-2024.pdf,
High,Tata Consultancy Services (TCS),IT / Tech / GCC corporate CSR (environment & tree-planting),"IT Services (Tier-1 IT major, Tata group)",High,"Employee-led tree plantation (50,000+ trees); biodiversity across 18 India campuses supporting 600+ flora, 200+ fauna, 41,000+ trees. Net-zero by 2030, 70% emissions cut by 2025. Part of Tata group (warm). Big employee-volunteering plantation-tracking potential.","50,000+ employee-planted trees; 41,000+ trees across 18 campuses; net-zero 2030; 8 ZWL-certified campuses FY25",https://www.tcs.com/investor-relations/esg/environment,
High,Tech Mahindra (Tech Mahindra Foundation),IT / Tech / GCC corporate CSR (environment & tree-planting),IT Services (Tier-1 IT major),High,"Tree plantation is a flagship conservation initiative run by 'Green Marshals' with NGO partners; 100,000+ trees over 8 years. ISR program asks every employee to plant 3 trees/month across a 140k+ workforce — strong employee-volunteering tie-in and a per-employee tracking need.","100,000+ trees over 8 years; org-wide ISR pledge (3 trees/employee/month); ESG report FY24-25 published",https://www.techmahindra.com/about-us/individual-social-responsibility/,
High,Cognizant (Cognizant Foundation / Outreach),IT / Tech / GCC corporate CSR (environment & tree-planting),IT Services (Tier-1 IT major / large India GCC),High,"Go Green Initiative = planting & conserving trees, restoring water bodies and public spaces; 6,700+ employees gave 20,000 hours to environmental activity; Pune cleanup with Swach NGO. Note the foundation's current thematic focus is Health4All/Future4All (skilling/health) with environment handled at corporate-GHG level — so target the corporate Go Green/volunteering program, not the foundation grant line.","6,700+ employee volunteers / 20,000 environmental hours; pan-India Go Green; 2024 sustainability report published",https://csrbox.org/India_CSR_Project_Cognizant-Technology-Solutions-India-Private-Limited-Go-Green-Initiative--pan-india_13530,
High,Capgemini India (Mission Million Trees),IT / Tech / GCC corporate CSR (environment & tree-planting),"IT / Consulting (Tier-1, large India GCC)",High,"Strongest verification-gap fit. Mission Million Trees planted 222,117 trees FY21-24 in Veloli/Veluk villages and PUBLICLY reports only 92,448 surviving = openly survival-transparency hungry. SayTrees partner (one tree per India employee, 2022); group pledge 20M trees by 2030. Their own published PDF surfaces the survival split — lead the pitch on closing exactly that gap.","222,117 trees 2021-24 (92,448 survived, publicly disclosed); 1 tree/employee India; group 20M-by-2030 target",https://www.capgemini.com/in-en/wp-content/uploads/sites/18/2025/08/Mission-Million-Trees.pdf,
High,Dell Technologies (India / Planet ERG),IT / Tech / GCC corporate CSR (environment & tree-planting),IT Hardware / Tech (large India GCC),High,Dell's Planet ERG partnered SayTrees on a 1-million-tree India goal; named Fortune-500 supporter of SayTrees (Miyawaki urban forests). Strong employee-resource-group volunteering motion = warm fit for branded employee tree-tracking.,1-million-tree India ambition with SayTrees; employee-ERG-driven plantation; Fortune-500 sustainability program,https://www.saytrees.org/,
High,Mphasis (Mphasis F1 Foundation),IT / Tech / GCC corporate CSR (environment & tree-planting),IT Services (mid-cap IT / BFSI-focused GCC),High,"Sustainability is one of 4 CSR pillars. Funding 100,000 trees at Doddasaggere Botanical Garden, Karnataka (11-acre dense forest within a 228-acre garden); plus Yamare Lake greening/biodiversity with United Way of Bengaluru. ~20cr annual CSR with a committed large planting target = strong survival-audit fit.","100,000 trees committed at Doddasaggere; lake + biodiversity project; ~20cr CSR; CSR Journey report 2025",https://www.mphasis.com/home/corporate/community-social-responsibility/mphasis-csr-programs.html,
High,HDFC Bank (Parivartan CSR),"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Private sector bank (largest private bank),High,"Biggest CSR purse among Indian banks = flagship target. FY24-25 CSR Rs 1,068cr (cumulative Rs 6,176cr). Added 'Natural Resource Management' as a dedicated Parivartan focus (afforestation, water, soil, solar) in FY24-25; separately pledged 30 lakh trees in Mumbai; targets carbon neutrality FY32 so wants verifiable carbon/green-cover outcomes.","Rs 1,068cr CSR FY24-25; dedicated afforestation vertical; 30 lakh-tree Mumbai pledge; carbon-neutral FY32",https://indiacsr.in/hdfc-bank-csr-1068-crore-fy-2024-25/,
High,ICICI Bank (ICICI Foundation),"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Private sector bank,High,"Valid environment-CSR prospect. Runs GhanVan native-tree project (with Tata Power), grassland/pastureland rejuvenation, avenue plantation, agroforestry; Rs 2.25bn env spend FY25. FACT-CHECK: do NOT quote the inflated 4.9M cumulative / 12 lakh FY25 tree figures in outreach — public sources corroborate ~2.6M (nearly 26 lakh) cumulative and GhanVan itself is small (~13,400 saplings to FY25). Use the corroborated ~2.6M number until verified against the cited ICICI ESG report.",~2.6M trees cumulative (corroborated; 4.9M claim unverified/inflated); Rs 2.25bn env spend FY25; GhanVan multi-year project,https://www.icici.bank.in/ms/aboutus/annual-reports/2024-25/esg/fostering-environment-restoration-and-safeguarding-ecology.html,
High,State Bank of India (SBI Foundation – SBIF CONSERW),"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Public sector bank (largest bank in India),High,"Active displacement target: SBIF CONSERW is a dedicated greening/restoration grant line funding Miyawaki forests, community plantations and green campuses (up to Rs 4cr/project, 1-3 yrs) — i.e. they actively commission tree-planting via NGOs and run live RFPs, so they need delivery + verification partners. 20M+ beneficiaries reached.",CONSERW grants up to Rs 4cr/project; active FY24-25 tree-plantation RFPs; Miyawaki + green-campus mandate; 20M+ beneficiaries,https://www2.fundsforngos.org/latest-funds-for-ngos/sbi-foundation-invites-non-profit-projects-in-the-areas-of-sustainable-waste-management-tree-plantation/,
High,Axis Bank (Axis Bank Foundation),"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Private sector bank,High,"Rs 426.57cr CSR FY25. Public target of 8 million trees by 2030; ~3.27M saplings planted FY25 incl. Miyawaki; March 2026 landscape-restoration drive of 30 lakh+ native saplings across MP, Rajasthan, WB & Assam; Corbett Foundation tiger-corridor plantation. Strong, quantified, time-bound afforestation = warm fit.",8M-tree-by-2030 target; 3.27M saplings FY25; 30 lakh+ saplings March 2026 drive,https://indiacsr.in/axis-bank-spends-rs-426-57-crore-on-corporate-social-responsibility-csr-in-fy-2025/,
High,Kotak Mahindra Bank,"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Private sector bank,High,"FY23-24 CSR Rs 230.81cr. Runs urban-afforestation with CERE (~14,000 trees, native Bel/Palash/Peepal/Karanj); World Environment Day 10,000-tree drives. Already buys urban-forest CSR from an implementing partner (CERE) = displacement target.","Rs 230.81cr CSR FY24; CERE urban-afforestation partnership; 14,000+ trees",https://uap.cere-india.org/kotak-mahindra-bank/,
High,Standard Chartered India,"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Foreign bank in India,High,"Project Treedom / Treedom 2.0 (with NGO Haritika + Indian Army) — 1 million native trees across 4 Army establishments in northern/central India; site prep, drip & solar-powered irrigation, ~447,023 tCO2/yr projected, 70-80% survival target. Large, methodology-driven afforestation already in market with explicit survival tracking = direct displacement target.","Project Treedom 1M trees; ~447,023 tCO2/yr projected; drip+solar irrigation, survival tracking",https://indiacsr.in/standard-chartered-haritika-to-plant-1m-trees-with-army/,
High,Mahindra & Mahindra (Project Hariyali / Mahindra Foundation),Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Auto / Conglomerate,High,"Exact ICP for living-proof + carbon upsell. Flagship Project Hariyali — 25.13M trees since inception (16.42M in Araku Valley tied to tribal coffee livelihoods), 2.27M FY24, targeting 5M/year by 2026; 4.5M-tree 1t.org pledge. Mature buyer already organized around tree counts and survival.",25.13M trees cumulative; 2.27M trees FY24; 5M/yr target by 2026; 1t.org 4.5M pledge,https://indiacsr.in/mahindras-project-hariyali-planting-five-million-trees-annually-by-2026/,
High,Adani Group / Adani Foundation,Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Energy / Ports / Conglomerate,High,"Top-tier env-CSR budget + largest India 1t.org pledge: 100M trees (incl. mangroves) by 2030, 20M/yr 2026-2030 (~29.5M already planted, 37.1M mangroves target). Flagship 400 Ha Taranga Hills afforestation, 162 Ha mangrove plantation (7.42 lakh saplings), Van Pandit Award for Mundra. Massive coastal+hill pipeline needing survival tracking + reporting.",100M-tree 2030 pledge (20M/yr); 37.1M mangroves target; Taranga 400 Ha; 150+ sites in 35 villages,https://www.adani.com/newsroom/media-releases/adani-group-pledges,
