Org,Trees to date,Status,As of,Clients (count),Notable clients,Source
Dera Sacha Sauda,170M (170 million in 17 years),self-reported,~2026 (DSS-affiliated sources),0 named corporate/CSR clients (devotee/volunteer-driven),,https://derasachasauda.org
Isha Foundation — Cauvery Calling / Project GreenHands,"134M (13.4 crore, Cauvery Calling); Project GreenHands 23.81M since 2004",self-reported,Cauvery Calling as of 29 May 2026 briefing; PGH 23.81M per Isha blog,1 clearly named corporate sponsor (Cauvery Calling); raises from individual + corporate donors,"Xiaomi India, NABARD, Tata Trust, Arbor Day Foundation",https://www.theweek.in/news/india/2026/05/29/isha-foundation-says-13-4-crore-trees-planted-under-cauvery-calling-sets-1-2-crore-target-for-2026-27.html
Seva Mandir (Udaipur),120M cumulative,self-reported,page dated 28 Jan 2020 (figure predates 'current'),"0 named (works 'with the support of corporate partners', none named)",,https://sevamandir.org/NewsDetails.aspx?page=Combatting+Climate+Change&nid=21
The Art of Living (IAHV / Vyakti Vikas Kendra),81M worldwide (org also claims 55M and 100M on other pages),self-reported,2025/2026 (org website); Mission Green Earth sub-figure 9.6M since 2008,2 named corporate CSR partners; runs a PMU for CSR collaborations,"Dynapac, NTPC Korba",https://www.artofliving.org/in-en/tree-planting
"Naandi Foundation (Araku, AP)",47.5M (homepage headline); ~6M is the carbon-audited Livelihoods-Araku subset,self-reported,2026 (naandi.org homepage); Livelihoods tranches from 2010,"13+ named partners/funders (tree program tied mainly to Livelihoods Funds, Danone, Mahindra)","Livelihoods Carbon Fund, Danone, Mahindra (KC Mahindra Education Trust), Dr. Reddy's, Titan, Sony, Michael & Susan Dell Foundation, NVIDIA, UNICEF, World Bank, Rockefeller Foundation",https://naandi.org/
Grow-Trees.com,"22,755,620 (live counter; org target shown 25,417,628)",self-reported,"2026 (live site counter; independently confirmed at 22,755,620)",Logos shown on corporate page; no single aggregate number stated,"SBI Mutual Fund, Glenmark, TATA AIA, Larsen & Toubro (L&T Hydrocarbon), HDFC Bank, DCB Bank, Tech Mahindra, Blue Star Infotech",https://www.grow-trees.com/corporate-partnership
Give Me Trees Trust (Peepal Baba),"~25M 'planted and preserved' since 1977 (incl. ~12.5M Peepal Baba personal peepal count; rest is preserved/restored vegetation across 270,000 ha)",self-reported,2026 (org website + LinkedIn),60+ corporations (org's own claim),"HCL Foundation, AXA, Cadence, Honeywell, EXL, Aon, Penguin Random House India, Eveready, Reliance Brands, Woodland, Timberland, JustDial, US Forest Service",https://www.givemetrees.org/about
SankalpTaru Foundation,"11M+ (corporate page); FY2024-25 = 2,212,810 (2.21M)",self-reported,2026 (corporate-partnership page); FY24-25 figure well-bounded,2800+ corporate partners,"Google, Microsoft, Accenture, Infosys, Verizon, Amazon, Flipkart, TCS, Tata Motors, Tata Power, Kia Motors, Volvo, Mercedes-Benz, PayPal, HDFC, SBI Foundation, DCB Bank, Godrej Appliances, Honda, Rio Tinto, Reckitt, MakeMyTrip, Mamaearth, Blue Dart, DHL, Philips India",https://sankalptaru.org/corporate-partnership-program/
SayTrees (SayTrees Environmental Trust),10M+ (main site); 5M+ via corporate partnerships (own partnerships page),self-reported,"2026 (current site, no explicit as-of date)",400+ corporate partners,"Dell Technologies, Amazon, Google, Microsoft, Intel, Unilever, Mercedes-Benz, McKinsey, Infosys, HCL Foundation, LTIMindtree, GSK, Hilton, Indus Towers, Levi's, Adobe, HP, Deloitte, Zerodha, Analog Devices, Herbalife, AXA",https://www.saytrees.org/
Mata Amritanandamayi Math (Amma / Embracing the World),6M worldwide,self-reported,originates as a 2013 pledge for Amma's 60th birthday; recycled unchanged through 2024 fact sheets,0 named corporate/CSR clients (devotee/volunteer-driven via ashram network),,https://amma.org/news/ammas-volunteers-plant-6-million-trees
