Priority,NGO,Region,Opportunity,Tech maturity,Scale,Corporate clients (reach),Target,Source,Status
High,SayTrees Environmental Trust,"TN-adjacent / South India + national (HQ Bengaluru, Karnataka; 18 states + 2 UTs incl. Tamil Nadu)",white-label target,basic-geotag (project/photo + PDF reporting only; NO per-tree GPS app or sponsor dashboard disclosed),"10M+ trees; 200+ Miyawaki urban forests; 59+ lakes restored; 20,000+ agroforestry farmers; 400+ corporate partners","Dell (1M-tree, 85%+ survival), Bosch, Sony Pictures Networks India, CGI, Analog Devices India, NetApp, Samsung R&D, KPMG, Refinitiv, Novo Nordisk, Karix Mobile — 400+ partners total",Co-founder / Head of Corporate Partnerships,https://www.saytrees.org/,
High,Green Yatra (Green Yatra Trust),National (HQ Mumbai/Thane); pan-India incl. Maharashtra MMR,white-label target,"basic-geotag ('Pedh Lagao' track-your-sapling site/app exists but is light — basic, not audit-grade per-tree MRV)",35M+ trees cumulative; target 10 crore (100M) by 2030 via 'Pedh Lagao'; 30-60+ Miyawaki forests with BMC,"Salesforce (35,000+ saplings FY24 Thane), Morningstar, DCB Bank, Covestro, Karix Mobile, Brother India, AnswerConnect — 'trusted by 100s of corporate houses'",Founder (Pradeep Tripathi) / Head of CSR & Corporate Partnerships,https://www.greenyatra.org/corporates-csr.php,
High,Give Me Trees Trust (Peepal Baba / Swami Prem Parivartan),National (HQ Delhi-NCR); 202 districts across 18 states,white-label target,"none (manual/volunteer verification; no per-tree geotag, MRV, or sponsor app)","24M+ trees (org+founder cumulative); 278 mini-forests; 17,000+ volunteers; 400+ native-species nurseries; ~90% survival; 600,000+ trees in Delhi-NCR","HCL Foundation, AXA, Cadence, Reliance Brands, Woodland, Timberland, Honda Trading Corp, JustDial; US Forest Service, Indian Army, BSF, CRPF — 55-60+ partners",Founder Peepal Baba's office / Trust CSR & Partnerships Lead,https://www.givemetrees.org/about,
High,Forest Creators (Dr. R.K. Nair),"National (HQ Mumbai, Jogeshwari); 12 states",white-label target,"none (issues co-branded eTreeCertificates + a basic Carbon Calculator, but NO geotag/app/MRV)","3.5M+ trees; 133+ forests; 120+ projects; 875,000+ sq m conserved; built JNPA SEZ 100k-sapling forest",Dedicated Corporate Programs arm + team-building plantation visits; specific named roster not published,"Founder/Director Dr. R.K. Nair, or Corporate Programs Lead",https://forestcreators.com/corporate/,
High,Forests by Heartfulness (Heartfulness Institute / Sahaj Marg),National (HQ Hyderabad / Kanha Shanti Vanam); 12 states,white-label target,"basic-geotag → roadmap (states intent to geo-tag every sapling + satellite + sponsor app, but largely early-stage/promised, not a mature product)","3M+ trees on 10,000+ acres; 310-340+ native species; 20 nurseries; 22-40 projects; target 30M trees by 2030","Bosch Global Software Technologies (25,000 saplings, 3 cities), Zscaler (15,000 saplings); open CSR pipeline via CSRBox; fbh@heartfulness.org for corporate gifting","Program Director, Forests by Heartfulness / CSR Partnerships",https://heartfulness.org/forests/,
High,Art of Living (Vyakti Vikas Kendra India / Sri Sri Ravi Shankar),"National (HQ Bengaluru); river basins in Maharashtra, Karnataka, Tamil Nadu, Kerala",white-label target,unconfirmed (their app is meditation/wellness only; no dedicated per-tree geotag/MRV/sponsor tracking found),"81M+ trees claimed overall (self-reported, no third-party audit); 9.6M under Mission Green Earth; 70 rivers under rejuvenation; ~90% survival claimed","Dynapac (1,360-tree, 12 native species), Rotary (Kaiwara eco-restoration); broad CSR pipeline via VVKI","Director, Vyakti Vikas Kendra India (VVKI) / AOL Environment & CSR",https://www.artofliving.org/in-en/projects/tree-planting,
High,United Way Mumbai (Urban Afforestation program),"National CSR intermediary; 6 cities (Mumbai, Noida/Ghaziabad, Bengaluru, Hyderabad, Bhayander)",white-label target,none (no per-tree geotag/MRV offered to funders),"125,000+ trees on govt land across 6 cities in 2023-24; 100% native species",Large CSR money-router bundling many corporate donors into urban forests; specific forest-program names not itemized,Director of Programs / Environment Lead,https://www.unitedwaymumbai.org/urbanafforestation,
High,iamgurgaon,Delhi-NCR / Haryana (Gurugram),white-label target,none (no per-tree geotag/MRV platform),"Restored 350-acre Aravali Biodiversity Park (since 2009); 300 native species; 'Million Trees Gurgaon'; mobilized 20,000+ people, 30 schools, 70+ corporates",70+ corporates engaged at Aravali Biodiversity Park (PPP with Municipal Corp of Gurgaon); names not consolidated publicly,Co-founder (Latika Thukral) / Project Lead,https://www.iamgurgaon.org/initiatives/aravalli-biodiversity-park-gurugram,
High,Grow Billion Trees,National (HQ Pune); pan-India plantation + agroforestry + mangrove,white-label target,"basic-geotag ('3 yrs care + GeoTag + certified documentation' is certificate/report-level, not real-time per-tree MRV)",Target 1 billion trees by June 2030; ~Rs 1.25 Cr FY24 revenue; est. 2022,"Cimpress, Weber Shandwick (employee-engagement drives); positions for corporate ESG/Net-Zero CSR",Founder / Corporate Sales & CSR Solutions,https://growbilliontrees.com/,
High,Rotary Clubs of India (district green projects; Ryan-Rotary drive),"National network; flagship Bengaluru, Pune, Hyderabad, Delhi",white-label target,"none (ad-hoc drives, no standardized geotag/MRV)","Ryan-Rotary: 10 lakh (1M) trees Jun 2026-May 2027 + Guinness attempt 50,000 saplings/day; many district drives","Ryan Group of Institutions, Dakoju family; clubs self-fund + local corporate sponsors; channel to thousands of member-businesses",District Environment Chair / Project Lead (relevant RID district),https://rotarynewsonline.org/rotary-paints-india-green-with-tree-plantation-drives/,
